DocID,Title,WikiID,In,Out
93,Ethernet hub,1937926,"AUI;attachment unit interface
I/O;input/output","Mbit/s;megabit per second
BNC;bayonet neill–concelman
8P8C;8 position 8 contact
e.g.;exempli gratia
OSI;open system interconnection
RJ45;registered jack 45
IEEE;institute of electrical and electronics engineers"
94,Short Payment Descriptor,37933439,"SPD;short payment descriptor
SPAYD;short payment descriptor","P2P;peer-to-peer
SEPA;single euro payments area
NFC;near-field communication
s.r.o.;self-regulatory organization
QR;quick response
ASCII;american standard code for information interchange
MIME;multipurpose internet mail extensions
a.s.;anonymous company
IBAN;international bank account number
APIs;application programming interfaces
vCard;virtual contact file"
95,Oral History Metadata Synchronizer,39925767,OHMS;oral history metadata synchronizer,"UK;united kingdom
Dr.;doctor"
96,SCVNGR,28206257,SCVNGR;scavenger,"www;world wide web
SMS;short message service
app;application"
97,Act of Love (politics),49536247,U.S.;united states,"ad;advertisement
U.S.;united states of america
GOP;grand old party"
98,SMART Retainer,17775678,,SMART;small micro sensor retainer
99,Kantai Collection,40484879,,"Lv.;level
CD;compact disk
DMM;digital media manager
ASCII;american standard code for information interchange
VPN;virtual private network
RNG-based;based on a random number generator
PS;playstation
SQL;structured query language
ENGI;entertainment graphic innovation
Vol.;volume
CDs;compact disks
GP;gold points
PVC;polyvinyl chloride
IP;internet protocol
RPG;role-playing game
3D;three-dimensional space
2D;two-dimensional space"
100,The Legend of Legacy,43948986,"stats;statistics
RPG;role-playing game","RPGs;role-playing games
USA;united states of america
3D;three dimensional
NIS;nippon ichi software
RPG;role-playing game
NIS;net institutional sales"
101,SocialGO,22878839,,Pro;professional
102,KornShell,17213,"CDE;common desktop environment
AST;at&t software technology
ksh;kornshell","POSIX;portable operating system interface
Tcl/Tk;tool command language/tool kit
IEEE-Std;institute of electrical and electronics engineers standards
AIX;advanced interactive executive
GNU;gnu's not unix"
103,Regenerative design,14967273,"US;united states
LENSES;living environments in natural, social and economic systems
Cal;california
BNIM;berkebile nelson immenschuh mcdowell
USGBC;us green building council
SPeAR;sustainable project appraisal routine
Poly;polytechnic","m;meters
LEED-certified;leadership in energy and environmental design-certified
etc.;et cetera
SMART;self-monitoring, analysis, and reporting technology
BREEAM;building research establishment environmental assessment method
et al.;et alia
LEED;leadership in energy and environmental design"
104,CityGML,5981974,"GML3;geography markup language 3
LoDs;levels of detail
OGC;open geospatial consortium","GML;geography markup language
TC211;technical specifications 211
DB;database
XML;extensible markup language
ISO;international standards
CityGML;city geography markup language
LoD;levels of detail"
105,ProCurve Products,14509372,PCM;procurve manager,"HP;hewlett-packard
LC;lucent connector
10GbE;10 gigabit ethernet
VPN;virtual private network
API;application programming interface
WAN;wide area network
GBICs;gigabit interface converters
ProCurve;professional curve
Mbit/s;megabits per second
VoIP;voice over internet protocol
IPS;in-plane switching
MSM;multiservice mobility"
106,ArchiCAD,4410993,"GDL;geometric description language
API;application programming interface
3D;three-dimensional
2D;two-dimensional
IAI;international alliance for interoperability","OBDC;open database connectivity
5D;five-dimensional
DXF;drawing exchange format
IT;information technology
MEP;mechanical/electrical/plumbing
etc.;et cetera
BIMcloud;building information modeling cloud
BIM;building information modeling
3D;three-dimensional
LDAP;lightweight directory access protocol
IFC;industry foundation classes
4D;four-dimensional
HTTP/HTTPS;hypertext transfer protocol/hypertext transfer protocol secure
2D;two-dimensional
ODBC;open database connectivity
BCF;bim collaboration format
CAD;computer-aided design"
107,Microsoft Desktop Optimization Pack,14951927,"DaRT;diagnostics and recovery toolset
MDOP;microsoft desktop optimization pack
ERD;emergency repair disk",
108,MelsecNet,31565579,,Mbit/s;megabits per second
109,RE (complexity),3106703,"R;recursive
RE;recursively enumerable","co-RE;complexity recursively enumerable
MIP;multiple-interrogator-prover
NRNC;non-recursive/non-complexity -recursive
co-RE-complete;complexity recursively enumerable complete
RE-complete;recursively enumerable complete"
110,BASIC Computer Games,20191096,,"HP;hewlett packard
BASIC;beginner's all-purpose symbolic instruction code
GW-BASIC;gee whiz-beginner's all-purpose symbolic instruction code
PET;personal electronic transactor
TRS-80;tandy radio shack-80
DEC;digital equipment corporation
FOCAL;formulating on-line calculations in algebraic language"
111,Data activism,51552534,CODIS;combined dna index system,DNA;deoxyribonucleic acid
112,CC (complexity),37764147,"CC;comparator circuits
CCVP;comparator circuit value problem","NL;nondeterministic logarithmic
AC;alternating current
P;polynomial
CC-complete;comparator circuits-complete
NC;nick's class"
113,Chaos game,2572603,IFS;iterated function system,
114,H1droid,31465462,,"GPU;graphics processing unit
microSD;micro storage device
SD;storage device
LiMo;linux mobile"
115,Switching lemma,31332864,,i.e.;id est
116,Web widget,6725861,,"API;application programming interface
USA;united states of america
W3C;world wide web consortium
CSS;cascading style sheets
CORS;cross-origin resource sharing
HTML;hypertext markup language"
117,HP Stream 7,48700969,HP;hewlett-packard,"ZDNet;ziff davis network
eIPS;enhanced in-plane switching
microSDHC;micro secure digital high capacity
GHz;gigahertz
mm;millimeter
DDRL3;double data rate 3 low voltage
HSPA+;evolved high speed packet access plus
Wi-Fi;wireless fidelity
RS;reduced standby
GB;gigabyte
LCD;liquid-crystal display
RAM;random-access memory
USB;universal serial bus
CPU;central processing unit
MP;megapixel
IPS;in-plane switching
Mah;milliamp per hour
microSD;micro secure digital"
118,Pythagoras tree (fractal),2508505,"QB;quarterback
NFL;national football league
UCD;university of california, davis
EU;european union
PCF;french communist party
UNS;universal nut sheller","EP;extended play
BC;before christ
NCAA;national collegiate athletic association
PCF;parti communiste français
CD;compact disk
Vol;volume
USD;united states dollar
TV;television
EU;european union
AIDS;acquired immunodeficiency syndrome
AD;anno domini
EP;extended play record
L;length
MTV;music television
GED;general educational development tests
LP;long play
TRL;total request live"
119,TI-84 Plus series,615169,"GNFS;general number field sieve
SE;silver edition
TI;texas instruments","SAT;standardized test
LED;light-emitting diode
PlySmlt2;polynomial root finder simultaneous equation solver
RAM;random access memory
OS;operating system
kB;kilobyte
mAh;milliampere-hour
LCD;liquid-crystal display
ASIC;application-specific integrated circuit
BASIC;beginners' all-purpose symbolic instruction code
ACT;american college testing
I/O;input/output
ROM;read-only memory
CE;color edition
MHz;megahertz
RSA;rivest–shamir–adleman
RAM;random-acess memory
LED;light emitting diode
DBUS;desktop bus
USB;universal serial bus
CPU;central processing unit
MB;megabyte
GUI;graphical user interface
mini-USB;mini-universal serial bus
mm;millimetre
CS;complete shell
SE;special edition
SDCC;small device c compiler
MP;megapixel"
120,Microsoft Exchange Hosted Services,5569019,EHS;exchange hosted services,"e-mail;electronic mail
Inc.;incorporated"
121,Breidbart Index,665818,"BI;breidbart index
BI7;breidbart index 7
CI;cancel-index
BI30;breidbart index 30
EMP;excessive multiposts
SBI;skirvin-breidbart index
ACI;cancel-index
ECP;excessive crossposts
BI2;breidbart index version 2","FAQ;frequently asked questions
Usenet;users network"
122,BitChute,55998495,"NSFL;not safe for life
NSFW;not safe for work",
123,YaDICs,46607954,"DIC;digital image correlation
NCC;normalized cross-correlation
PIV;particle image velocimetry
Q4P1;first-order quadrangular finite elements
ZOI;zone of interest","Petsc;portable, extensible toolkit for scientific computation
MUMPS;multifrontal massively parallel sparse direct solver
i.e.;id est
BFGS;broyden-fletcher-goldfarb-shanno
3D;three-dimensional
YaDICs;yet another digital image correlation software
OpenMP;open multi-processing
SSD;sum of squared differences
B-spline;basis spline
ITK;insight toolkit
CPU;central processing unit
2D;two-dimensional"
124,Location-based advertising,13532795,"ASA;advertising standards authority
LBA;location-based advertising","e-mail;electronic mail
UK;united kingdom
PC;personal computer
DVD/CD;digital video disc/compact disc"
125,Plastic.com,698941,"subQ;submissions queue
QL;quicklink",CGI:IRC;common gateway interface:internet relay chat
126,Meta-scheduling,6100856,,"TT;time triggered
e.g.;exempli gratia
MPSoC;multiprocessor system on a chip
SBMeS;scenario-based meta-scheduling"
127,Host model,2788522,,"RFC;request for comments
IPv6;internet protocol version 6
FreeBSD;free berkeley software distribution
OpenBSD;open berkeley software distribution
IPv4;internet protocol version 4
VPN;virtual private network
BSD;berkeley software distribution
NetBSD;net berkeley software distribution
TCP/IP;transmission control protocol/internet protocol
pf;packet filter
IP;internet protocol
DragonflyBSD;dragonfly berkeley software distribution"
128,Data exchange,10231058,"HTML;hypertext markup language
SGML;standard generalized markup language
XML;extensible markup language","URL;uniform resource locator
JSON;javascript object notation
XHTML;extensible hypertext markup language
SQL;structured query language
XML;extensible markup language
e.g.;exempli grazia
RDF;resource description framework
OWL;web ontology language
ISO;international standards organization
YAML;yet another markup language
REBOL;relative expression based object language"
129,Wireless lock,32260893,,"WLAN;wireless local area network
e.g.;exempli grazia
RFID;radio frequency identifier
PC;personal computer
ITU;international telecommunication union
IEC;international electrotechnical commission
PKI;public key infrastructure
RSSI;received signal strength indicator
USB;unversal synchronous bus
IETF;internet engineering task force
ISO;international standards organisation
V;version
ANT;adaptive network topology
SIM;subscriber identity module
LAN;local area network
i.e.;id est
mW;milliwatt
UWB;ultra-wideband
XML;extensible markup language
W3C;world wide web consortium
CSS;cascading style sheets"
130,Rexer's Annual Data Miner Survey,31082848,PAW;predictive analytics world,
131,Aventus Protocol,57346125,,FIFA;fédération internationale de football association
132,ISO 8000,20375252,"ISO/TS;iso technical specifications
AII;authoritative item identifier
IT;information technology
MDM;master data management
ALEI;authoritative legal entity identifier
TC;technical committee
SC;sub-committee","ISO;international organization for standardization
IEC;international electrotechnical commission
XML;extensible markup language"
133,Digital Postmarks,8194174,"UPU;universal postal union
US;united states
EPCM;electronic postal certification mark
DPM;digital postmark
USPS;united states postal service
EPM;electronic postmark
U.S.;united states",ePostmarks;electronic postmarks
134,Frame check sequence,1434110,"FCS;frame check sequence
TCP;transmission control protocol
CRC;cyclic redundancy check
PPP;point-to-point protocol","HDLC;high-level data link control
IEEE;institute of electrical and electronics engineers"
135,CharlieCard,2058453,"MBTA;massachusetts bay transportation authority
FVM;fare vending machine
Senior/TAP;senior/transportation access pass
MTA;metropolitan transit authority
RFID;radio-frequency identification
FVMs;fare vending machines
M.T.A.;metropolitan transit authority
CSAs;customer service agents
AFC;automated fare collection","MTA;metropolitan transit authority
MIT;massachusetts institute of technology
NXP;next experience
RFID;radio-frequency identification
M.T.A.;metropolitan transit authority
MIFARE;mikron fare
DEFCON;defense readiness condition
U.S.;united states
Ph.D.;philosophiae doctor"
136,Maximum coverage problem,24221954,NP-hard;nondeterministic polynomial-hard,"i.e.;id est
NP;nondeterministic polynomial"
137,ISO 20022,1283281,FIX;financial information exchange,"SWIFT;society for worldwide interbank financial telecommunication
ISO;international organization for standartization
ISDA;international swaps and derivatives association
XML;extensible markup language
UML;unified modeling language
FpML;financial products markup language
ISITC;international securities association for institutional trade communication"
138,Google AdSense,736238,"CPM;cost per thousand impressions
splogs;spam blogs
CPC;cost per click
MFA;made for adsense","US;united states
RSS;really simple syndication
e-mail;electronic mail
i.e.;id est
HTTP;hypertext transfer protocol
e.g.;exempli gratia
Q1;quarter 1
AdSense;advertisement sense
Gmail;google mail"
139,Arc diagram,38996336,,"st-planar;source target-planar
NP-hard;nondeterministic polynomial-hard
NP-complete;nondeterministic polynomial-complete
MAX2SAT;maximum-2-satisfiability"
140,VAX 8000,19885929,"PPI;peripheral interface
FPA;floating point accelerator
DMA;direct memory access
SBI;synchronous backplane interconnect
MSI;medium scale integration
EMM;environmental monitoring module
TOY;time-of-year
MSI;medium-scale integration
MOS;metal oxide semiconductor
ISA;instruction set architecture
RTI;real-time interface
SSI;small scale integration
TTL;transistor-transistor logic
MCAs;macrocell arrays
CPU;central processing unit
ECL;emitter coupled logic
DEC;digital equipment corporation
ECL;emitter-coupled logic
ALU;arithmetic logic unit
DRAM;dynamic random access memory","VAXBI;vax bus interconnect
IEEE-488;institute of electrical and electronics engineers-488
SPARC;scalable processor architecture
KB;kilobyte
Unibus;unified bus
ns;nanosecond
MOSAIC;motorola oxide isolated self-aligned implanted circuits
I/O;input/output
KBit;kilobit
SBIs;synchronous backplane interconnects
MIPS;microprocessor without interlocked pipelined stages
CPUs;central processing units
nops;no operations
PDP-11;programmed data processor-11
VAX;virtual address extension
MB/s;megabyte per second
MHz;megahertz
NBI;northbound interface
PRO-380;professional 380
FAST;fairchild advanced schottky ttl
NBIA;northbound interface a
ICs;internet connection sharing
NMI;non-maskable interrupt
NBIB;northbound interface b
PPD-11;programmed data processor-11
MB;megabyte
SMP;symmetric multiprocessing
µm;micrometre
ECC;error correction code memory
RAMs;random-access memories"
141,MSML,14481885,"MediaCTRL;media control
MSML;media server markup language","IETF;internet engineering task force
RFC;request for comments
SIP;session initiation protocol
VoiceXML;voice extensible markup language
RTP;real-time transport protocol
XML;extensible markup language
RadiSys;radix microsystems
IP;internet protocol
MSCML;media server control markup language
Intel;integrated electronics
NMS;nerviano medical sciences
IVR;interactive voice response"
142,Nostalgia 1907,22673170,,"PC-8801;personal computer-8801
FM;fujitsu micro
Capcom;capsule communicator
CD;compact disk"
143,Parks–McClellan filter design algorithm,4882496,"FIR;finite impulse response
IIR;infinite impulse response","MIT;massachusetts institute of technology
TMS;texas memory systems
DFT/FFT;discrete fourier transform/fast fourier transform
Dr.;doctor
ASSP;application-specific standard product
IEEE;institute of electrical and electronics engineers
MATLAB;matrix laboratory
DSP;digital signal processing"
144,Seed7,36346048,"HTTPS;hypertext transfer protocol secure
S7SSD;seed7 structured syntax description
HTTP;hypertext transfer protocol
SMTP;simple mail transfer protocol
CGI;common gateway interface
ODBC;open database connectivity
TLS/SSL;transport layer security/secure sockets layer
OO;object-oriented
FTP;file transfer protocol","etc;et cetera
MariaDB;maria database
API;application programming interface
SQL;structured query language
XML;extensible markup language
AES;advanced encryption standard
SQLite;structured query lite
MySQL;my structured query language
PostgreSQL;postgre structured query language"
145,Grab (software),3385603,TIFF;tagged image file format,"macOS;mac operating system
PNG;portable network graphics
DRM;digital rights management
PDF;portable document format"
146,ReDigi,34644641,"U.S.;united states
CTR;cost to read","v.;versus
Inc.;incorporated
i.e.;id est
vs.;versus
MIT;massachusetts institute of technology
EMI;electric and musical industries
RIAA;recording industry association of america
CD;compact disc
J.;joseph
AAC;advanced audio coding"
147,Linutop,8920077,"OS;operating system
PC;personal computer","in;inch
RAM;random access memory
OS;operating system
XS;extra small
LTSP;linux terminal server project
XFCE;xforms common environment
Tv;television
GB;gigabyte
PC;personal computer
cm;centimetre
HDMI;high-definition multimedia interface
USB;universal serial bus
MB;megabyte
NOOBS;new out of box software
MHz;megahertz
HD;high definition
oz;once"
148,EMML (Motorola),28270727,EMML;enterprise mobility mark-up language,"WLAN;wireless local area network
META;metadata
EMMP;environmental monitoring and management plan
W3C;world wide web consortium
CSS;cascading style sheets
URL;uniform resource locator
HTML;hypertext markup language"
149,Jürgen Moser,1752316,,"Ph.D;philosophiae doctor
IMPA;instituto de matemática pura e aplicada
ETH;eidgenössische technische hochschule
MIT;massachusetts institute of technology"
150,Satellite navigation device,17800413,"SA;selective availability
MMCS;mitsubishi multi communication system
GLONASS;global navigation satellite system
DGPS;differential global positioning system
GPS;global positioning system
TTFF;time to first fix
GNSS;global navigation satellite systems
A-GPS;assisted gps
W;watt","PCMCIA;personal computer memory card international association
US;united states
dBW;decibel watt
ms;millisecond
Inc.;incorporated
U.S.;united states
km;kilometer
cm;centimeter
GSM;global system for mobile
WiFi;wireless fidelity
USA;united states of america
dBm;decibel-milliwatts
PC;personal computer
USB;universal serial bus
WCDMA;wideband code division multiplexing access
dB;decibel
PDA;personal digital assistant
SD;secure digital"
151,Decision Linear assumption,12765269,DLIN;decision linear,"i.e.;id est
IND-CPA;indistinguishability under chosen plaintext attack"
152,Riak,29786161,NHS;uk national health services,"NoSQL;non-structured query language
CS;cloud storage
LevelDB;level database
AT&T;american telephone and telegraph company
CAP;consistency availability partition tolerance"
153,Moodle,383472,"LMS;learning management system
Moodle;modular object-oriented dynamic learning environment","demo;demonstration
php;hypertext preprocessor
OS X;macintosh operating system x
Ph.D.;doctor of philosophy
webhost;web hosting
FreeBSD;free berkeley software distribution
iOS;iphone operating system
HTTP;hypertext transfer protocol
UK;united kingdom
HQ;headquarters
LMSs;learning management systems
WebCT;web course tools
PHP;php: hypertext preprocessor
PostgreSQL;postgres structured query language
Moodlerooms Inc.;moodlerooms incorporated
Demo;demonstration
U.S.;united states
GNU;gnu's not unix"
154,Heather Marsh,37167897,WL;wikileaks,"US;united states
a.k.a.;also known as
OpDeathEaters;operation death eaters
NGOs;non-governmental organizations
WL;wikileaks
opCanary;operation canary
CNN;cable news network
POW;prisoner of war
Web;world wide web
opGabon;operation gabon
FBI;federal bureau of investigation
CIA;central intelligence agency
DIA;defense intelligence agency"
155,Index of computing articles,99965,"2B+D;basic rate interface
ERP;enterprise resource planning
RAM;random access memory
PDF;portable document format
EVD;enhanced versatile disc
ROM;read only memory
PCM;pulse code modulation
AOL;america online
EDP;electronic data processing
DEC;digital equipment corporation
EJB;enterprise java beans","GATE;general algebraic translator extended
OS;operating system
YaST;yet another setup tool
TPU;text processing unit
TADS;text adventure development system
SQL;structured query language
Tcl;tool command language
IBM;international business machines corporation
COBOL;common business-oriented language
sed;stream editor
2B1D;basic rate interface
WYSIWYG;what you see is what you get
LALR;look-ahead left-to-right
386BSD;386 berkeley software distribution
SYSKEY;security account manager lock tool
AOL;america online
USB;universal serial bus
APL;a programming language
AWK;aho, weinberger, kernighan domain specific language
YACC;yet another compiler-compiler
ME;millennium edition
LL;left-to-right
ESS;electronic switching system
3NF;third normal form
JPEG;joint photographic experts group
DVI;device independent file format
SETL;set language
ML;meta language
SNOBOL;string oriented and symbolic language
Rexx;restructured extended executor
1TBS;the one true brace style
AIX;advanced interactive executive
ENIAC;electronic numerical integrator and computer
PILOT;programmed inquiry, learning, or teaching
a.k.a.;also known as
MOO;mud, object-oriented
3GL;third-generation programming language
CP/M;control program for microcomputers
BSD;berkeley software distribution
BASIC;beginners' all-purpose symbolic instruction code
PC;personal computer
RISC;reduced instruction set computer
4NF;fourth normal form
PSPACE;polynomial space
KDE;k(ool) desktop environment
API;application programming interfaces
MAD;michigan algorithm decoder
F;fiber
GEM;graphics environment manager
IA;intel architecture
COMAL;common algorithmic language
VAX;virtual address extension
CORAL;computer on-line real-time applications language
AutoLISP;autocad list processor
PA;precision architecture
IEEE;institute of electrical and electronics engineers
4GL;fourth-generation programming language
Ratfor;rational fortran
Unicode;universal character encoding standard
5NF;fifth normal form
MMC;multimediacard
MUMPS;massachusetts general hospital utility multi-programming system
UART;universal asynchronous receiver/transmitter
EBCDIC;extended binary coded decimal interchange code
PL/I;programming language one
2B1Q;two-binary, one-quaternary
PDP;programmed data processor
SR;synchronizing resources programming language
SIMD;single instruction, multiple data
TPU;text processing utility
TRAC;text reckoning and compiling
SLIP;serial line internet protocol
MOS;metal oxide semiconductor
TeX;tau, epsilon, and chi
S/SL;syntax/semantic language
hn;home networking
TR;technische richtlinie
Nial;nested interactive array language
MMU;memory management unit
3D;three dimensional
INTERCAL;compiler language with no pronounceable acronym
Multics;multiplexed information and computing service
CYK;cocke–younger–kasami
SAIL;stanford artificial intelligence language
MS-DOS;microsoft disk operating system
HD DVD;high definition digital versatile disc
ALGOL;algorithmic language
LR;left-to-right
5ESS;class 5 telephone electronic switching system
SONET;synchronous optical networking
SPARC;scalable processor architecture
BASE;baseband signaling
SPITBOL;speedy implementation of snobol
SMIL;siffermaskinen i lund computer
SMBus;system management bus
VBScript;microsoft visual basic scripting edition
2D;two-dimensional
SSL;secure sockets layer
MPEG;moving picture experts group
SMIL;siffermaskinen i lund
VB;visual basic
ASCII;american standard code for information interchange
CPL;combined programming language
DVD;digital video disc
BC;before christ
kbit/s;kilobits per second
TRAC;text reckoning and compiling programming language
RFC;request for comments
SCSI;small computer system interface
2NF;second normal form
Mac;macintosh
DIBOL;digital's business oriented language
UAT;user acceptance testing
TECO;text editor & corrector
1NF;first normal form
VG;voice grade
BCPL;basic combined programming language
SR;synchronizing resources"
156,Transceiver,41805,"CB radio;citizens band radio
MAUs;medium attachment units
SWL;shortwave listening","CFP;c form-factor pluggable
SFP;small form-factor pluggable
QSFP;quad small form-factor pluggable
GBIC;gigabit interface converter
IEEE;institute of electrical and electronics engineers
SFP+;enchanced small form-factor pluggable"
157,JPEG XT,56741458,"JFIF;jpeg file interchange format
JPEG;joint photography experts group
DCT;discrete cosine transform
APP11;application marker 11
IDR;intermediate dynamic range","JPEG/JFIF;joint photographic experts group/joint photography experts group file interchange format
JPEG-HDR;joint photographic experts group-high dynamic range
PNG;portable network graphics
KB;kilobyte
HDR;high dynamic range
EOTF;electro-optical transfer function
ISO;international organization for standardization
RGBE;red, green, blue, exponent
JPEG-LS;joint photography experts group-lossless
JPEG2000;joint photographic experts group 2000
ITU;international telecommunication union
ISO/IEC;international organization for standardization/international electrotechnical commission"
158,Klipfolio dashboard,13161836,"CXO;chief experience officer
KPI;key performance indicators","CTO;chief technical officer
CSS-based;cascading style sheets-based
Inc.;incorporated
RSS;really simple syndication
KB;kilobyte
TV;television
HTTP;hypertext transfer protocol
XML;extensible markup language
email;electronic mail
CEO;chief executive officer"
159,OASIS TOSCA,42257995,"TOSCA;topology and orchestration specification for cloud applications
Alien4Cloud;application lifecycle enabler for cloud","DevOps;development operations
JSON;javascript object notation
etc.;et cetera
OASIS;organization for the advancement of structured information standards
DICE;developing innovation and creativity in education
YAML;yaml ain't markup language
EU;european union
i.e.;id est
FP7;framework programme 7
H2020;horizon 2020
AWS;amazon web services"
160,Juniper Networks,675426,"PARC;palo alto research center
SDN;software-defined networking
WAN;wide area network
IOP;integrated operating plan
ISPs;internet service providers","LAN;local area network
US;united states
WLAN;wireless local area network
IBM;international business machines
VOIP;voice over ip
IP;internet protocol
MCI;microwave communications, inc.
IT;information technology
AT&T;american telephone and telegraph company
ScreenOS;screen operating system
Microsoft;microcomputer software
NASDAQ;national association of securities dealers automated quotations
CEO;chief executive officer
R&D;research and development
SSL/VPN;secure sockets layer/virtual private network"
161,Migme,30668772,"ASX;australian securities exchange
MIG;migme limited","WAP;wireless application protocol
FIH;foxconn interantional holdings
e-Commerce;electronic commerce
J2ME-based;java 2 platform, micro edition-based
WKN;wertpapierkennnummer"
162,The Open Group,57819,"NASPL;north american state lotteries association
CA;certified architect
OSF;open software foundation
CITS;certified it specialist","POSIX;portable operating system interface
NASA;national aeronautics and space administration
IBM;international business machines
Unix;uniplexed information and computing service
IT;information technology
COSE;common open software environment
TOGAF;the open group architecture framework
U.S.;united states
FAIR;factor analysis of information risk
HPE;hewlett packard enterprise"
163,Dynamic frequency selection,7412738,DFS;dynamic frequency selection,"LAN;local area network
U-NII;unlicensed national information infrastructure
GHz;gigahertz
FCC;federal communications commission
MHz;megahertz
Wi-Fi;wireless-fidelity
IEEE;institute of electrical and electronics engineers"
