DocID,Title,WikiID,U1 In,U1 Out,U2 In,U2 Out
1,Dennis Sullivan,7349608,,MIT;massachusetts institute of technology,,"B.A.;bachelor of arts
Ph.D.;philosophiae doctor
MIT;massachusetts institute of technology"
2,Cray MTA,25458359,,"CPU;central process unit
ALU;arithmetic logic unit
FORTRAN;formula translation
OS;operating system",,"ALU;arithmetic logic unit
T3E;toxicomanie europe echanges etudes
OS;operating system
FORTRAN;formula translation/translator (high-level programming language)
MTA;multi-threaded architecture
CPU;central processing unit"
3,Azubu,53159565,,"SKT;sk telecom
USD;united states dollar
CEO;chief executive officer
CJ;cheil jedang",,"CEO;chief executive officer
eSports;electronic sports
SKT;south korean telecom
T1;team one
USD;united states dollar"
4,Digital citizen,20726862,"MSD;marjory stoneman douglas
FTC;federal trade commission
IT;information technology","U.S;united states
eIDs;electronic identifications
ISP;internet service provider
B2C;business-to-consumer
ICT;information and communications technology
K-12;kindergarten to 12th grade
OECD;organisation for economic co-operation and development
NTIA;national telecommunications and information administration
B2B;business-to-business
ACT;american college testing","U.S.;united states
MSD;marjory stoneman douglas
FTC;federal trade commission
IT;information technology","ISP;internet service provider
B2C;business-to-consumer
ACT;american college testing
ICT;information and communications technology
TV;television
OECD;organisation for economic co-operation and development
NTIA;national telecommunications and information administration
B2B;business-to-business
K-12;k through twelve
eIDs;electronic identifications"
5,Get Online Week,28686799,,"MLA;museums, libraries and archives council
EE;everything everywhere
ICT;information and communications technology
UK;united kingdom
BBC;british broadcasting corporation
BT;british telecom",,"EE;everything everywhere
ICT;information and communications technology
UK;united kingdom
BBC;british broadcasting corporation
BT;british telecom
MLA;member of the legislative assembly"
6,Flash memory emulator,33810267,FET;flash emulation tool,"PC;personal computer
IP;intellectual property
TI;texas instruments
MSP430;mixed signal processor 430
ROM;read-only memory
RAM;random-access memory",FET;flash emulation tool,"IP;internet protocol
ROM;read-only memory
RAM;random-access memory
PC;personal computer"
7,InterMapper,22881511,,"IP;internet protocol
http;hypertext transfer protocol
SNMP;simple network management protocol
CPU;central process unit",,"IP;internet protocol
SNMP;simple network management protocol
CPU;central processing unit
HTTP;hypertext transfer protocol"
8,Ecological indicator,4833901,"ROSELT;réseau d'observatoires du sahara et du sahel
OSS;observatoire du sahara et du sahel
CCD;convention to combat desertification",,"ROSELT;réseau d'observatoires du sahara et du sahel
OSS;observatoire du sahara et du sahel
CCD;chemical control division",
9,STC104,51050694,,"DS-Link;data strobe link
SGS-Thomson;società generale semiconduttori thomson
DS-Link;data strobe link
MIMD;multiple instruction, multiple data
CMOS;complementary metal–oxide–semiconductor",,"HCMOS4;high-speed cmos
W;watt
Mbit/s;megabit per second
mm;millimetre
MIMD;multiple instruction, multiple data
CMOS;complementary metal–oxide–semiconductor
DS-Link;data strobe link
Mhz;megahertz
SGS-Thomson;società generale semiconduttori-thomson"
10,History of computer animation,30797574,"OSU;ohio state university
ILM;industrial light & magic
NBS;national bureau of standards
JPL;jet propulsion laboratory
MOS;metal-oxide-semiconductor
CGL;computer graphics laboratory
ARPA;advanced research projects agency
SGI;silicon graphics inc
CGI;computer-generated imagery
IEEE;institute of electrical and electronics engineers
DVE;digital video effect
CA;california
DRAM;dynamic random-access memory
SEAC;standards eastern automatic computer
MIT;massachusetts institute of technology
IRIS;integrated raster imaging system
NYIT;new york institute of technology
RGB;red blue green
TV;television
AMAS;academy of machinima arts & sciences
Lab;laboratory
CG;computer graphics
SUN;stanford university network
SD;standard definition
Beflix;bell flicks
ACM;association for computing machinery
SICGRAPH;special interest committee on computer graphics
DVM8000/1;digital video manipulator 8000/1","VAX;virtual address extension
MB;megabyte
NFB;national film board
NTSC;national television system committee
BESM-4;bolshaya elektronno-schetnaya mashina
APT;automatically programmed tool
CPB;corporation for public broadcasting
VTR;video tape recorder
UK;united kingdom
3D;3 dimensions
2D;two dimensions
Antics;animated technicolor-image computer system
4D;4 dimensions
NASA;national aeronautics and space administration
SIGGRAPH;special interest group on computer graphics and interactive techniques
VLSI;very large-scale integration
CAD;computer-aided design","OSU;ohio state university
ILM;industrial light & magic
Mocap;motion capture
NFBC;national film board of canada
NBS;national bureau of standards
JPL;jet propulsion laboratory
MOS;metal-oxide-semiconductor
CGL;computer graphics laboratory
ARPA;advanced research projects agency
CGI;computer-generated imagery
IEEE;institute of electrical and electronics engineers
DVE;digital video effect
CA;california
DRAM;dynamic random-access memory
SEAC;standards eastern automatic computer
MIT;massachusetts institute of technology
IRIS;integrated raster imaging system
SGI;silicon graphics, inc
NYIT;new york institute of technology
AKA;also known as
TV;television
US;united states
AMAS;academy of machinima arts & sciences
CG;computer graphics
RGB;red, green & blue
SUN;stanford university network
NHK;nippon hoso kyokai
SD;standard definition
ACM;association for computing machinery
NUK;nippon univac kaisha
SICGRAPH;special interest committee on computer graphics
CAPS/ink;computer animation production system ink","APT;advanced production technologies
BESM-4;bolshaya elektronno-schetnaya mashina 4
NASA;national aeronautics and space administration
2-D;two dimensions
CD;compact disk
PARC;palo alto research center
4D;four dimensions
USA;united states of america
BBC;british broadcasting corporation
CAD;computer-aided design
BESK;binär elektronisk sekvenskalkylator
VAX;virtual address extension,
VTR;video tape recorder
CPB;congress in the public broadcasting
3D;three dimensions
DSV;deep submergence vehicle
AMPAS;academy of motion picture arts and sciences
RISC;reduced instruction set computer
NFB;national film board of canada
RF;radio frequency
DC;district capital
UK;united kingdom
IMAX;image maximum
3-D;three dimensions
USC;university of southern california
DFS;digital framestore synchroniser
Antics;animated technicolor-image computer system
LEDs;light emitting diodes
DVM8000/1;digital video manipulator 8000/1"
11,DU Ad Platform,50789048,,"Inc;incorporated
SDK;software development kit",Ad;advertising,"SDK;software development kit
Inc;incorporation"
12,OCCAID,9631095,OCCAID;open contributors corporation for advanced internet development,IPv6;internet protocol version 6,OCCAID;open contributors corporation for advanced internet development,IPv6;internet protocol version 6
13,Dōkyūsei 2,1271969,,,,
14,Web hosting service,157465,"FTP;file transfer protocol
SSL;secure sockets layer
VPS;virtual private server
LAMP;linux apache mysql php
SLA;service lever agreement
ISP;internet service provider
DDoS;distributed denial of service","ASP;active server page
PC;personal computer
email;electronic mail
RAM;random access memory
DNS;domain name system
PHP;hypertext preprocessor
CPU;central process unit
IP;internet protocol
TCP;transmission control protocol
URL;uniform resource locator","FTP;file transfer protocol
SSL;secure sockets layer
VPS;virtual private server
LAMP;linux, apache, mysql, and php/perl/python
DDoS;distributed denial of service attack
SLA;service level agreement
ISPs;internet service providers","PC;personal computer
RAM;random access memory
DNS;domain name system
USENET;unix user network
IP;internet protocol
URL;uniform resource locator
CPU;central processing unit"
15,Alibaba Cloud,51100188,"IaaS;infrastructure as a service
RDBMS;relational database management system
SUSS;singapore university of social sciences
OLAP;online analytical processing
PB;petabyte
CDN;content delivery networks
DAG;directed acyclic graph","OOS;object storage
VLDB;very large data bases
C5;cloud computing compliance controls catalogue
DBaaS;database as a service
TPC;transaction processing performance council
e-commerce;electronic commerce
vCPUs;virtual central processing units
IoT;internet of things
GB;gigabyte
SIGMOD;special interest group on management of data
US;united states
SaaS;software as a service
Aug.;august
TB;terabyte
PaaS;platform as a service
TPC-DS;transaction processing performance council-decision support
Anti-DdoS;anti-distributed denial of service","RDBMS;relational database management system
SUSS;singapore university of social sciences
OLAP;online analytical processing
PB;petabyte
CDN;content delivery networks
DAG;directed acyclic graph
IaaS;infrastructure as a service","OOS;object storage
TPC;transaction processing performance council
VLDB;very large data base
e-commerce;electronic commerce
GB;gigabyte
SIGMOD;special interest group on management of data
US;united states
TB;terabyte
PaaS;platform as a service
DBaaS;database as service
SaaS;software as a service
IoT;internet of things
vCPUs;virtual central processing units"
16,Partition (database),1983101,,,,
17,Location transparency,1959320,,,,
18,Rugged smartphone,61537795,,"psi;pound force per square inch
C;celcius
IP;ingress protection
M;meter
IEC;international electrotechnical commission
cm;centimeter
U.S.;united states
L/min;liter per minute",,"IP;international protection
IEC;international electrotechnical commission"
19,Relay network,24711058,TOR;the onion router,,,e.g.;exempli gratia
20,Information and communications technology in agriculture,10552308,"IICA;inter-american institute for cooperation on agriculture
WSIS;world summit on the information society
UNDESA;united nations department of economic and social affairs
IICD;international centre for communication for development
GIS;geographic information system
ITU;international telecommunication union
SMS;short message service
FAO;food and agriculture organization
GPS;global positioning system
CGIAR;consultative group on international agricultural research
GFAR;global forum on agricultural research
GIZ;deutsche gesellschaft für internationale zusammenarbeit
CTA;technical centre for agricultural and rural cooperation
IFAD;international fund for agricultural development
DFID;department for international development
UN;united nations
IAALD;international association of agricultural information specialists
NAL;united states national agricultural library
ODI;overseas development institute
GKP;global knowledge partnership","ICT;information and communication technology
UK;united kingdom
GAID;global alliance for information and communication technologies and development
RFID;radio-frequency identification","GPS;global positioning system
CTA;technical centre for agricultural and rural cooperation
DFID;department for international development
IFAD;international fund for agricultural development
UN;united nations
IICD;international centre for communication for development
SMS;short message service
ODI;overseas development institute
GKP;global knowledge partnership
IICA;inter-american institute for cooperation on agriculture
ICTs;information and communication technologies
CGIAR;consultative group on international agricultural research
GFAR;global forum on agricultural research
GIZ;deutsche gesellschaft für internationale zusammenarbeit
IAALD;international association of agricultural information specialists
WSIS;world summit on the information society
UNDESA;united nations department of economic and social affairs
ITU;international telecommunication union
FAO;food and agriculture organization
NAL;united states national agricultural library
GiS;geographic information system","ICT;information and communication technology
e-agriculture;information and communication technology in agriculture
GAID;global alliance for information and communication technologies and development
RFID;radio-frequency identification"
21,Outline of human–computer interaction,904443,HCI;human–computer interaction,,HCI;human–computer interaction,
22,IRC services,487229,"CS;chanserv
IRC;internet relay chat","EFnet;eris-free network
IRCd;internet relay chat daemon",IRC;internet relay chat,"EFnet;eris-free network
OpenNap;open-source napster
IRCd;internet relay chat daemon
K-line;kill line
G-line;global kill line"
23,FreeNAS,5368671,"NAS;network-attached storage
OS;operating system","JS;java script
SATA;serial advanced technology attachment
SSH;secure socket shell
RAID;redundant array of inexpensive drives
DOM;disk on module
FTP;file transfer protocol
CD-ROM;compact disc read-only memory
SMB;server message block
iSCSI;internet small computer system interface
BSD;berkeley software distribution
TFTP;trivial file transfer protocol
API;application programming interface
AFP;apple filing protocol
REST;representational state transfer
NFS;network file system
ZFS;zettabyte file system
USB;universal serial bus
PHP-based;hypertext preprocessor-based","NAS;network-attached storage
OS;operating system","iSCSI;internet small computer systems interface
DOM;disk on module
RAID;redundant array of independent disks
JS;javascript
FTP;file transfer protocol
REST;representational state transfer
SMB;server message block
SSH;secure shell
BSD;berkeley software distribution
API;application programming interface
CD-ROM;compact disc, read-only-memory
GA;general availability
TFTP;trivial file transfer protocol
AFP;apple filing protocol
SATA;serial ata
ZFS;z file system
NFS;network file system
USB;universal serial bus
PHP-based;hypertext preprocessor-based"
24,Universal controls,14281172,"PDP;policy decision point
PEP;policy enforcement point","CD;compact disc
IM;instant message
API;application proandom access memorygram interface
PC;personal computer
FTP;file transfer protocol
XACML;extensible access control markup language
SOA;service-oriented architecture
4GL;fourth-generation programming language
USB;universal serial bus","PDP;policy decision point
PEP;policy enforcement point","CD;compact disc
FTP;file transfer protocol
IM;instant messaging
PC;personal computer
XACML;extensible access control markup language
e-mail;electronic mail
API;application programming interface
4GL;fourth-generation programming language
USB;universal serial bus"
25,TI-81,657653,TI;texas instruments,"RAM;random access memory
CAS;computer algebra system
Mhz;megahertz",,"RAM;random access memory
MS-DOS;microsoft disk operating system
Mhz;megahertz"
26,Subgroup analysis,5434504,,e.g.;exempli gratia,,e.g.;exempli gratia
27,Information and Content Exchange,412556,"OCS;open content syndication
ICE;information and content exchange","HTTP;hypertext transfer protocol
PRISM;publishing requirements for industry standard metadata
XML;extensible markup language
WDDX;web distributed data exchange
NITF;news industry text format
W3C;world wide web consortium
CDF;channel definition format
DCOM;distributed component object model
CORBA;common object request broker architecture","OCS;open content syndication
ICE;information and content exchange","HTTP;hypertext transfer protocol
XML;extensible markup language
WDDX;web distributed data exchange
NITF;news industry text format
W3C;world wide web consortium
RSS;really simple syndication
CDF;channel definition format
DCOM;distributed component object model
CORBA;common object request broker architecture"
28,Foldable smartphone,60119704,MWC;mobile world congress,"OLED;organic light-emitting diode
CEO;chief executive officer
LG;lucky-goldstar
ZTE;zhong xing telecommunication equipment
NEC;nippon electric company
TCL;telephone communication limited",MWC;mobile world congress,"OLED;organic light-emitting diode
CEO;chief executive officer
VP;vice-president"
29,Hamilton C shell,29820733,,"OS/2;operating system/2
etc;et cetera
NT;new technology",,"etc;et cetera
NT;new technology
OS/2;operating system/2"
30,Les Trophées du Libre,14701147,,,,
31,GIS file formats,410879,"RDBMS;relational database management system
RGB;red blue green
BLOB;binary large object
TIN;triangulated irregular networks
FSDSSs;fflexible spatial decision-making support systems","USGS;united states geological survey
GIS;global information system
JPEG;joint photographic experts group
TIFF;tagged image file format","RGB;red green blue
RDBMS;relational database management system
BLOB;binary large object
TIN;triangulated irregular networks
FSDSSs;flexible spatial decision-making support systems","USGS;united states geological survey
JPEG;joint photographic experts group
TIFF;tagged image file format
GIS;geographic information system"
32,Software remastering,9202700,"IE;internet explorer
distro;distribution","CD;compact disc
GUI;graphical user interface
MB;megabyte
PC;personal computer
IT;information technology
GNU;gnu's not unix
NT;windows nt
BSD;berkeley software distribution
ISO;international organization for standardization
DOS;disk operating system
CPU;central process unit
CD-ROM;compact disk-read only memory
Win98;windows 98
SLS;softlanding
SP1;service pack 1
SP2;service pack 2
USB-migrated;universal serial bus-migrated
USB-thumbdrive;universal serial bus-thumbdrive",,"CD;compact disc
GUI;graphical user interface
MB;megabyte
SLS;softlanding linux system
DVD;digital versatile disc
BSD;berkeley software distribution
ISO;international organization for standardization
DOS;disk operating system
USB-migrated;universal serial bus-migrated
USB-thumbdrive;universal serial bus-thumbdrive"
33,FeliCa,1432278,"AES;advanced encryption standard
EAL4;evaluation assurance level 4","JIS;japanese industrial standards
NFC;near-field communication
RFID;radio-frequency identification
IEC;international electrotechnical commission
ISO;international organization for standardization
NFC-F;near-field communication-felica","AES;advanced encryption standard
EAL4;evaluation assurance level 4
IT;information technology
FeliCa;felicity card
JICSAP;japan ic card system application council
IC;integrated circuit","VAIO;visual audio intelligent organizer
PC;personal computer
NFC;near field communication
Suica;super urban intelligent card
UK;united kingdom
RFID;radio-frequency identification
kbit/s;kilobit per second
USB;universal serial bus
JIS;japanese industrial standard
JR;japan railway
Mhz;megahertz"
34,ERAM,7895973,"ARTCC;air route traffic control center
ORD;operational readiness decision
SWIM;system wide information management
ERAM;en route automation modernization
ADS-B;automatic dependent surveillance-broadcast","FAA;federal aviation administration
NextGen;next generation
CONUS;contiguous united states","SWIM;system wide information management
ADS-B;automatic dependent surveillance-broadcast
ERAM;en route automation modernization
ARTCC;air route traffic control center","CONUS;continental united states
FAA;federal aviation administrationwww.faa.gov"
35,Daredevil Dennis,3118834,,BBC;british broadcasting corporation,C64;commodore 64,BBC;british broadcasting corporation
36,Librem,49548566,"HOTP;hmac-based one-time password
BIOS;basic input/output system
TOTP;time-based one-time password","mm;millimeter
RFC;request for comments
NXP;next experience
SPC;social purpose corporation
KDE;k desktop environment
g;gram
GNOME;gnu network object model environment
USB;universal serial bus
CPU;central processing unit
kbit/s;kilobit per second
HMAC-based;hash-based message authentication code-based
GTK-compliant;gimp toolkit-compliant
IP-native;internet protocol-native
GNU/Linux;gnu's not unix!/linux","TOTP;time-based one-time password algorithm
HOTP;hmac-based one-time password
BIOS;basic input/output system","RFC;request for comments
mm;milimeter
NXP;next experience
SPC;social purpose corporation
KDE;k desktop environment
g;gram
GNOME;gnu network object model environment
USB;universal serial bus
CPU;central processing unit
HMAC-based;hash-based message authentication code-based
GTK-compliant;gimp toolkit-compliant
PureOS;pure operating system
IP-native;internet protocol native
GNU/Linux;gnu's not unix!/linux"
37,John C. Gittins,28046840,"Sci.;science
D.;doctor",,"Sci.;science
D.;doctor",
38,The Kirlian Frequency,60002558,,"Cine;cinema
indie;independent
TV;television
AM;amplitude modulation",,"AM;ante meridiem
TV;television
Cine;cinema
indie;independent
Labs;laboratories"
39,Intelligence assessment,519276,"F3EA;find-fix-finish-exploit-assess
RFI;request for information",,"F3EA;find-fix-finish-exploit-assess
RFI;request for information",
40,Lego Friends,34370313,,"NPR;national public radio
TV;television
DK;dorling kindersley
Direct-to-DVD;direct-to-digital video disc",,"NPR;national public radio
DK;dorling kindersley"
41,Private Internet Access,39920910,"VPN;virtual private network
ECC;elliptic curve cryptography
PIA;private internet access","CEO;chief executive officer
IRC;internet relay chat
AES;advanced encryption standard
PPTP;point-to-point tunneling protocol
DNS;domain name system
TCP;transmission control protocol
Ipv6;internet protocol version 6
SHA1;secure hash algorithm 1
RSA;rivest–shamir–adleman
UDP;user datagram protocol
L2TP/IPsec;internet protocol security/layer 2 tunneling protocol
OpenVPN;open virtual private network","VPN;virtual private network
ECC;elliptic curve cryptography
PIA;private internet access","CEO;chief executive officer
IRC;internet relay chat
AES;advanced encryption standard
PPTP;point-to-point tunneling protocol
DNS;domain name system
IPv6;internet protocol version 6
RSA;rivest-shamir-adleman
TCP;transmission control protocol
UDP;user datagram protocol
L2TP/IPsec;internet protocol security/layer 2 tunneling protocol
SHA256;secure hash algorithm 256
OpenVPN;open virtual private network"
42,Dean Allemang,17723079,,"SPARQL;sparql protocol and rdf query language
OWL-ED;web ontology language edition
PhD;doctor of philosophy
RDF;resource description framework
MSc;master of science
LLC;limited liability company",,"SPARQL;sparql protocol and rdf query language
PhD;doctor of philosophy
OWL-ED;owl: experiences and directions
RDF;resource description framework
MSc;master of science
LLC;limited liability company"
43,Network sovereignty,41792368,"VPNs;virtual private networks
ISPs;internet service providers
PCT;patent cooperation treaty
WIPO;world intellectual property organization","No.;number
PIPA;protect internet protocol act
UK;united kingdom
SOPA;stop online piracy act
IP;internet protocol
EU;european union","VPNs;virtual private networks
ISPs;internet service providers
PCT;patent cooperation treaty
WIPO;world intellectual property organization","PIPA;protect ip act
Wi-Fi;wireless fidelity
UK;united kingdom
SOPA;stop online piracy act
US;united states
e-commerce;eletronic commerce
IP;internet protocol
EU;european union"
44,XProc,13015603,,XML;extensible markup language,,"XML;extensible markup language
W3C;world wide web consortium"
45,International Arctic Research Center,6577179,"IARC;international arctic research center
UAF;university of alaska fairbanks",,"IARC;international arctic research center
UAF;university of alaska fairbanks",
46,ChipWits,6870355,,Dec;december,,Dec;december
47,JBIG,1061675,JBIG;joint bi-level image experts group,"IBM;international business machines corporation
ITU-T;international telecommunication union telecommunication standardization sector
AT&T;american telephone and telegraph company
ISO/IEC;international organization for standardization/international electrotechnical commission",JBIG;joint bi-level image experts group,"IBM;international business machines corporation
ITU-T;itu telecommunication standardization sector
AT&T;american telephone and telegraph
JTC;joint technical committee
ISO/IEC;international organization for standardization/international electrotechnical commission
ITU-T;international telecommunication union telecommunication standardization sector
1/SC;1/subcommittee"
48,Linwood G. Dunn,5323047,"ASC;american society of cinematographers
AMPAS;academy of motion picture arts and sciences
A.S.C;american society of cinematographers","mm;millimetre
3-D;3 dimensions
TV;television
RKO;radio-keith-orpheum","AMPAS;academy of motion picture arts and sciences
A.S.C.;american society of cinematographers","mm;millimeter
RKO;radio-keith-orpheum
TV;television
3-D;three-dimensional"
49,Bitmovin,46596986,,"DRM;digital rights management
HTTP;hypertext transfer protocol
MPEG;moving picture experts group
DASH;dynamic adaptive streaming over http
etc;et cetera
IETF;internet engineering task force
IIS;internet information services
AWS;amazon web services
DASH-IF;dash industry forum
HTML5;hypertext markup language 5",,"DRM;digital rights management
HTTP;hypertext transfer protocol
DASH-IF;dynamic adaptive streaming over http-industry forum
MPEG;moving picture experts group
MPEG-DASH;moving picture experts group-dynamic adaptive streaming over http
IETF;internet engineering task force
IIS;internet information services
AWS;amazon web services
HTML5;hypertext markup language 5
DASH;dynamic adaptive streaming over http"
50,HP Pavilion (computer),3089253,"HPE;high performance edition
HP;hewlett-packard
PSU;power supply unit","MB;megabyte
PC;personal computer
RAM;random access memory
Wi-Fi;wireless fidelity
US;united states
XPS;xtreme performance system
AMD;advanced micro devices
MTV;music television
GPU;graphics processing unit
CD-ROM;compact disc, read-only memory
DVD;digital versatile disc
IBM-compatible;international business machines-compatible
Mhz;megahertz","HPE;high performance edition
PSUs;power supply units
HP;hewlett-packard","PC;personal computer
CD-ROM;compact disc read-only memory
RAM;random access memory
US;united states
etc;et cetera
AMD;advanced micro devices
DVDs;digital versatile discs
s;seconds
Co;company
MTV;music television
GPU;graphics processing unit
Mhz;megahertz
IBM-compatible;international business machines-compatible"
51,Flexenclosure,40073004,"IFC;international finance corporation
NOC;network operations centre","AB;aktiebolag
telecom;telecommunications
UAE;united arab emirates
US$;united states dollars","IFC;international finance corporation
NOC;network operations centre
AP2;andra ap-fonden",UAE;united arab emirates
52,Spare Parts (video game),29911535,,"EA;electronic arts
HAL;heuristically programmed algorithmic computer
AI;artificial intelligence",,"EA;electronic arts
IGN;imagine games network
AI;artificial intelligence
A.V.;audio visual
HAL;heuristically programmed algorithmic computer"
53,Eirpac,14087346,NUI;network user identification,"VPN;virtual private network
ATDT;attention dial tone
AT;attention
DNIC;data network identification code",NUI;network user identification,"VPN;virtual private network
DNIC;data network identification code"
54,Stealth wallpaper,4194311,,"Wi-Fi;wireless fidelity
UK;united kingdom
GSM;global system for mobile communications",,"BAE;british aerospace
4G;fourth generation
UK;united kingdom
Wi-Fi;wireless fidelity
GSM;global system for mobile communications"
55,Spanish Data Protection Agency,31550711,AEPD;spanish data protection agency,EC;european commission,AEPD;agencia española de protección de datos,"Wi-Fi;wireless fidelity
EC;european council
Wifi;wireless fidelity"
56,Efficient XML Interchange,12060598,"EXI;efficient xml interchange
W3C;world wide web consortium
EXI-capable;efficient xml interchange-capable","US;united states
XML;extensible markup language
non-XML;non-extensible markup language","EXI;efficient xml interchange
W3C;world wide web consortium
EXI-capable;efficient xml interchange-capable","XML;extensible markup language
non-XML;non-extensible markup language"
57,E-Report,13328107,"VT;vocational training
VCs;vocational centers","VET;vocational education and training
PC;personal computer
ICT;information and communications technology
e-newsletter;electronic newsletter
U;university
e-learning;electronic learning
LMS;learning management system
DVD;digital video disc
EAC;education, audiovisual and culture
CD;compact disk
e-tutoring;electronic tutoring
e.g.;exempli gratia",,"PC;personal computer
ICT;information and communications technology
DVD;digital versatile disc
LMS;learning management system
VET;vocational technology training
CD;compact disk"
58,Mkfs,12769879,,"CPM;control program monitor
bfs;boot file system
VXFS;veritas file system
NTFS;new technology file system
HFS;hierarchical file system
vfat;virtual file allocation table
mkfs;make filesystem
SCO;santa cruz operation
MSDOS;microsoft disk operating system
minix;mini-unix
RF;radio-frequency
fat;file allocation table
HP-UX;hewlett packard-unix
DECtape;digital equipment corporation tape",,"ext2;second extended file system
NTFS;nt file system
e.g.;exempli gratia
VXFS;veritas file system
ext2;extended file system 2
ext3;extended file system 3
vfat;virtual file allocation table
HFS;hierarchical file system
HP-UX;hewlett packard unix
MSDOS;microsoft disk operating system
SunOS;sun operating system
DECtape;digital equipment corporation tape
minix;mini-unix
CPM;control program for microcomputers
fat;file allocation table
SCO;santa cruz operation
ext4;extended file system 4"
59,Zach Galifianakis,644431,,"LA;los angeles
FX;effects
H.B.;house bill
TV;television
Mr.;mister
UBC;university of british columbia
SXSW;south by soutwest
HBO;home box office
VH1;video hits one
MTV;music television
direct-to-DVD;direct-to-digital versatile disc",,"LA;los angeles
HBO;home box office
FX;fox extended networks
SXSW;south by southwest
VH1;video hits one
MTV;music television
direct-to-DVD;direct-to-digital versatile disc"
60,Systematics – study of multi-term systems,2892398,LVT;logovisual thinking,,LVT;logovisual thinking,
61,Triplestore,16727386,"RDF;resource description framework
OLAP;online analytical processing","NoSQL;not only structured query language
SPARQL;simple protocol and rdf (resource description framework) query language
SQL;structured query language
SQL-based;structured query language-based
SPARQL;sparql protocol and rdf query language","RDF;resource description framework
OLAP;online analytical processing","SPARQL;sparql protocol and rdf query language
NoSQL;not only structured query language
SQL;structured query language
SQL-based;structured query language-based"
