DocID,Title,WikiID,U1 In,U1 Out,U2 In,U2 Out
62,Public-domain-equivalent license,6504282,"FSF;free software foundation
OSI;open systems interconnection","FOSS;free and open-source software
BSD;berkeley software distribution
WTFPL;do what the fuck you want to public license
CC0;creative commons 0
GNU;gnu's not unix!","SPDX;software package data exchange
FSF;free software foundation
OSI;open source initiative","OpenBSD;open berkeley software distribution
FOSS;free and open source software
WTFPL;do what the f* you want to public license
BSD;berkeley software distribution
GNU;gnu's not unix
CC0;creative commons 0"
63,Network mapping,142338,"AS-level;autonomous systems-level
AS;autonomous systems","OSI;open system interconnection
ISP;internet service provider
BGP;border gateway protocol
MIBs;management information bases
IT;information technology
3D;3 dimensions
BGPMon;border gateway protocol monitoring
SNMP;simple network management protocol
ICMP;internet control message protocol
RIPE;réseaux ip européens
POP;post office protocol
IP;internet protocol
URLs;uniform resource locators
e.g.;exempli gratia
etc.;et cetera","AS;autonomous systems
AS-level;autonomous systems-level","BGP;border gateway protocol
MRT;multiple render targets
ISP;internet service provider
POP;point of presence
RIPE;réseaux ip européens
e.g.;exempli gratia
IT;information technology
BGPMon;border gateway protocol monitoring
SNMP;simple network management protocol
ICMP;internet control message protocol
OSI;open systems interconnection
IP;internet protocol
MIBs;management information bases
URLs;uniform resource locators"
64,Smart card management system,34556149,"SCMS;smart card management system
CMS;credential management system",EOL;end of life,"SCMS;smart card management system
CMS;credential management system",EOL;end of life
65,NamePros,43696305,,"USD;united states dollar
RSS;really simple syndication",,"RSS;rich site summary
USD;united states dollar"
66,Qt Project,39331660,QPL;q public license,"KDAB;klarälvdalens datakonsult ab
CEO;chief executive officer
GPL;general public license
IBM;international business machines corporation
RIM;research in motion
LGPL;lesser general public license
BSD-style;berkeley software distribution-style",QPL;q public license,"KDAB;klarälvdalens datakonsult ab
GPL;general public license
KDE;k desktop environment
RIM;research in motion
IBM;international business machines
LGPL;lesser general public license
BSD-style;berkeley software distribution-style"
67,Distributed transmission system,20376898,"PID;packet identifier
MTVA;metropolitan television alliance
US;united states
DTS;distributed transmission system
NYC;new york city
DTV;digital television
DTx;distributed transmission system
FCC;federal communications commission","Mhz;megahertz
Hz;hertz
OMP;operations and maintenance packet
DMA;designated market area
VHF;very high frequency
UHF;ultra high frequency
8VSB;8-level vestigial sideband modulation
ATSC;advanced television systems committee
kW;kilowatt
GPS;global positioning system
TV;television
NBC;national broadcasting company
CTIA;cellular telecommunications and internet association
RF;radio-frequency
dB;decibel
Ghz;gigahertz
OFDM;orthogonal frequency-division multiplexing
DVB-T;digital video broadcasting-terrestrial
non-MPEG;non-moving picture experts group","PID;process identifier
MTVA;metropolitan television alliance
US;united states
DTS;distributed transmission system
NYC;new york city
DTV;digital television
DTx;distributed transmission system
FCC;federal communications commission","Mhz;megahertz
Hz;hertz
OMP;operations and maintenance packet
DMA;designated market area
VHF;very high frequency
UHF;ultra high frequency
low-VHF;low-very high frequency
8VSB;8-level vestigial sideband modulation
ATSC;advanced television systems committee
kW;kilowatt
GPS;global positioning system
TV;television
NBC;national broadcasting company
DVB-T;digital video broadcasting — terrestrial
CTIA;cellular telecommunications and internet association
RF;radio-frequency
dB;decibel
Ghz;gigahertz
OFDM;orthogonal frequency-division multiplexing
non-MPEG;non-moving picture experts group"
68,Glitching,1524152,GTA;grand theft auto,"FIFA;fédération internationale de football association
NCAA;national collegiate athletic association
L.A.;los angeles",,"Bros.;brothers
NCAA;national collegiate athletic association
L.A.;los angeles"
69,XPath 2.0,1003003,W3C;world wide web consortium,"QName;qualified name
XDM;experience data model
XPath;xml path language
XSLT;extensible stylesheet language for transformation
XML;extensible markup language
FLWOR;for let where order by return
XQuery;xml query",W3C;world wide web consortium,"XPath;xml path language
FLWOR;for, let, where, order by, return
XSLT;extensible stylesheet language for transformation
XML;extensible markup language
XDM;xquery and xpath data model
XQuery;xml query"
70,Guard tour patrol system,9465204,"SaaS;software as a service
PES;portable electronic sensor","ID;identifier
i.e.;id est
GPS;global positioning system
RFID;radio frequency identification
NFC;near field communication
USB;universal serial bus
GPRS;general packet radio service
QR;quick response","SaaS;software as a service
PES;portable electronic sensor","GPS;global positioning system
RFID;radio frequency identification
NFC;near field communication
ID;identification
USB;universal serial bus
GPRS;general packet radio service
QR;quick response"
71,Route redistribution,42968021,,,,
72,Nvidia Tesla,42100593,GPGPU;general-purpose graphics processing units,"FinFET;fin field-effect transistor
AMD;advanced micro device
GPUs;graphics processing units
CUBA;compute unified device architecture
AMD's;advanced micro devices
TSMC's;taiwan semiconductor manufacturing company limited
GeForce;general electronic facsimile optimized for repair and ceaseless exploration
HBM2;high bandwidth memory 2
OpenCL;open computing language","GPGPU;general-purpose graphics processing units
GPUs;graphics processing units","FinFET;fin field-effect transistor
APIs;application programming interfaces
AMD;advanced micro devices
TSMC;taiwan semiconductor manufacturing company
CUDA;compute unified device architecture
HBM2;high bandwidth memory 2
OpenCL;open computing language
ARMv8;advanced risc machines version 8
DVI;digital visual interface"
73,MaPS S.A.,46489271,MaPS;marketing publishing  sales,"S.A.;sibling alert
GS1;global standards 1
ICT;information and communications technology
ICI;imperial chemical industries
MaPS S.A.;marketing publishing  sales sibling alert",MaPS;marketing publishing and sales,"GS1;global standards 1
ICT;information and communication technologies
S.A.;société anonyme
ICI;incubation & capital investment"
74,Dataspaces,26705941,"PIM;personal information management
DSSP;dataspace support platform",e.g.;exempli gratia,DSSP;dataspace support platform,"e.g.;exempli gratia
PIM;product information management
CORIE;cyber operational resilience intelligence-led exercises
SIGMOD;special internet group on management of data"
75,Acer beTouch E130,29563450,,Inc.;incorporated,,Inc.;incorporated
76,CRIME,37005552,"BREACH;browser reconnaissance and exfiltration via adaptive compression of hypertext
CRIME;compression ratio info-leak made easy","WEB;world english bible
HTTPS;hypertext transfer protocol secure
nginx;engine-ex
HTTP;hypertext transfer protocol
SPDY;speedy(networking protocol)
COOKIE;small file relating to a website
SSL;secure sockets layer
CVE;common vulnerabilities and exposures
BEAST;browser exploit against ssl/tls
TLS;transport layer security","BREACH;browser reconnaissance and exfiltration via adaptive compression of hypertext
Crime;compression ratio info-leak made easy
TLS;transport layer security","HTTPS;hypertext transfer protocol secure
HTTP;hypertext transfer protocol
CVE;common vulnerabilities and exposures
SPDY;speedy
OpenSSL;open secure sockets layer
BEAST;browser exploit against ssl/tls"
77,KakaoPage,48479886,,"mid;middle
Google;global organisation of oriented group language of earth
WEB;world english bible",,"Kakao Corp.;kakao corporation
Daewon C.I.;daewon culture industry"
78,Motorola 68008,174940,,"HMOS;high density, short channel mos
RAM;random-access memory
QL;quantum leap",,"HMOS;high density, short channel mos
bit;binary digit
RAM;random access memory
QL;quantum leap"
79,GolfBOO,44190015,,,,
80,CEN/XFS,1064223,XFS;extensions for financial services,"IBM;international business machines corporation
CEN;comité européen de normalisation
EFTPOS;electronic funds transfer at point of sale
J/XFS;java extensions for financial services
NCR;national cash register
ATM;automated teller machine
CEN/ISSS;comité européen de normalisation/information  society  standardization  system
WOSA/XFS;windows open services architecture/extensions for financial services
XML;extensible markup language
JavaPOS;java for point of sale devices
CEN/XFS;comité européen de normalisation/extensions for financial services
WOSA;windows open services architecture
API;application programming interface","XFS;extensions for financial services
CEN;comité européen de normalisation","EFTPOS;electronic funds transfer at point of sale
CEN/ISSS;comité européen de normalisation/information society standardization system
IBM;international business machines
NCR;national cash register
WOSA/XFS;windows open services architecture/extensions for financial services
XML;extensible markup language
ATMs;automated teller machines
JavaPOS;java for point of sale devices
CEN/XFS;comité européen de normalisation/extensions for financial services
WOSA;windows open services architecture
API;application programming interface
Microsoft;microcomputer software
J/XFS;java extension for financial services"
81,Avaya ERS 8800 Series,31089004,"SF;switch fabric
ERS;ethernet routing switch
ASLAN;assured services local area network
JITC;joint interoperability test command
CPU;central processing unit","U.S.;united states
VLAN;virtual local area network","ASLAN;assured services local area network
JITC;joint interoperability test command
ERS;ethernet routing switch","MAC;media access control
IP;internet protocol
SF/CPU;switch fabric/central processing unit
VLANs;virtual local area networks
U.S.;united states"
82,National Carbon Company,11834748,NCC;national carbon company,"St.;saint
W. H. Lawrence;washington herbert lawrence
Myron T. Herrick;myron timothy herrick
Rutherford B. Hayes;rutherford birchard hayes
US;united states
U.S.;united states
LLC;limited liability company",NCC;national carbon company,"St.;saint
LLC;limited liability company
US;united states
U.S.;united states
UCAR;union carbide"
83,Maryse Liburdi,42121567,,"CEO;chief executive officer
US;united states",,"CEO;chief executive officer
US;united states"
84,Adobe Ultra,12869240,"CS4;creative suite 4
CS3;creative suite 3",3D;3 dimensions,CS3;creative suite 3,"ADOBE;another disc obliterated by elements.
CS4;creative suite 4
CS5;creative suite 5
3D;three-dimensional"
85,Ovi (Nokia),13142328,"ISVs;independent software vendors
IM;instant messaging
IP;intellectual property","PDF;portable document format
Java ME;java micro edition
URL;uniform resource locator
USA;united states of america
SMS;short message service
PC;personal computer
PIM;product information management
US;united states
UK;united kingdom
API;application programming interface
CSV;comma-separated values
CA;california","MTP;media transfer protocol
IM;instant messaging
ISVs;independent software vendors
IP;intellectual property","PDF;portable document format
Java ME;java micro edition
e.g.;exempli gratia
vs;versus
etc;et cetera
USA;united states of america
SMS;short message service
PC;personal computer
PIM;product information management
IE 6;internet explorer 6
US;united states
UK;united kingdom
API;application programming interface
USB;universal serial bus
Sync;synchronization
App;application
MP3;mpeg-1 audio layer iii
apps;applications
IE 7;internet explorer 7"
86,Atom (text editor),42083804,"apm;atom's package manager
IDE;integrated development environment","HTML;hypertext markup language
CSS;cascading style sheets
MIT;massachusetts institute of technology",IDE;integrated development environment,"HTML;hypertext markup language
CSS;cascading style sheets
MIT;massachusetts institute of technology"
87,InterMezzo (file system),48095,"FTP;file transfer protocol
GNU;general public license","JFS;journaled file system
WWW;world wide web","FTP;file transfer protocol
GNU;general public license","JFS;journaled file system
XFS;extended file system
WWW;world wide web
ext3;third extended filesystem"
88,Art & Architecture Thesaurus,8731797,"TELDAP;taiwan e-learning and digital archives program
TGN;thesaurus of geographic names
GRI;getty research institute
AAT;art & architecture thesaurus
ULAN;union list of artist names","ANSI;american national standards institute
NY;new york
ISO;international organization for standardization
NISO;national information standards organization
VT;vermont
RPI;rensselaer polytechnic institute","TELDAP;taiwan e-learning and digital archives program
TGN;thesaurus of geographic names
GRI;getty research institute
AAT-Taiwan;art & architecture thesaurus-taiwan
AAT;art & architecture thesaurus
ULAN;union list of artist names","ANSI/NISO;american national standards institute/national information standards organization
ISO;international organization for standardization
NISO;national information standards organization
VT;vermont
RPI;rensselaer polytechnic institute"
89,Kraus–Weber test,55862417,K-W;kraus–weber,,K-W;kraus–weber,
90,Diskless shared-root cluster,9183639,"SSI;single-system image
OS;operating system","NFS;network file system
dhcp;dynamic host configuration protocol
pxe;preboot execution environment
OpenVMS;open virtual memory system
VMScluster;virtual memory system cluster
tftp;trivial file transfer protocol","SSI;single-system image
OS;operating system","NFS;network file system
dhcp;dynamic host configuration protocol
pxe;preboot execution environment
UNIX;uniplexed information and computing system
OpenVMS;open virtual memory system
VMScluster;virtual memory system cluster
tftp;trivial file transfer protocol
nfs;network file system"
91,InterNetNews,172820,"CNFS;cyclical news filesystem
INN;internetnews
ISC;internet systems consortium",NNTP;network news transfer protocol,"CNFS;cyclical news filesystem
INN;internetnews","innd;internet news daemon
ISC;internet systems consortium
NNTP;network news transfer protocol"
92,Albert Rowe (physicist),25454608,"AI;airborne interception
TRE;telecommunications research establishment
A. P.;albert percival
RDF;range and direction finding","H2S;home sweet home
CBE;commander of the most excellent order of the british empire
E. H.;ernest henry","AI;airborne interception
TRE;telecommunications research establishment
RDF;range and direction finding","CBE;commander of the order of the british empire
A. P. Rowe;albert percival rowe
E. H. Putley;ernest henry putley"
93,Ethernet hub,1937926,"I/O;input/output
AUI;attachment unit interface","OSI;open system interconnection
8P8C;8 position 8 contact
IEEE;institute of electrical and electronics engineers
RJ45;registered jack 45
BNC;bayonet neill–concelman
Mbit/s;megabit per second","I/O;input/output
AUI;attachment unit interface","e.g.;exempli gratia
100BASE-FX;ethernet
Mbit/s;megabites por segundo
10BASE5;ethernet
8P8C;8 position 8 contact
100BASE-TX;ethernet
IEEE;institute of electrical and electronics engineers
10BASE2;ethernet
BNC;bayonet neill–concelman
100BASE-T4;ethernet
10BASE-T;ethernet
OSI;open systems interconnection"
94,Short Payment Descriptor,37933439,"SPAYD;short payment descriptor
SPD;short payment descriptor","NFC;near-field communication
P2P;peer-to-peer
APIs;application programming interfaces
s.r.o.;self-regulatory organization
SEPA;single euro payments area
IBAN;international bank account number
vCard;virtual contact file
QR code;quick response code
MIME;multipurpose internet mail extensions
ASCII;american standard code for information interchange
a.s.;anonymous company",Spayd;short payment descriptor,"NFC;near-field communication
APIs;application programming interface
P2P;person-to-person
SEPA;single euro payments area
IBAN;international bank account number
vcard;virtual contact file
s.r.o.;senior responsible owner
a.s.;agent society
ASCII;american standard code for information interchange
QR;quick response"
95,Oral History Metadata Synchronizer,39925767,OHMS;oral history metadata synchronizer,"$;dollar
UK;united kingdom
Dr.;doctor
Louie B. Nunn;louie broady nunn",OHMS;oral history metadata synchroniser,"UK;united kingdom
Dr.;doctor"
96,SCVNGR,28206257,SCVNGR;scavenger,"SMS;short message service
app;application
www;world wide web",SCVNGR;scavenger,SMS;short message service
97,Act of Love (politics),49536247,U.S.;united states,"GOP;grand old party
ad;advertisement
H. W.;herbert walker",,"George H. W. Bush;george herbert walker bush
U.S.;united states of america
GOP;grand old party"
98,SMART Retainer,17775678,,,,SMART;small micro sensor retainer
99,Kantai Collection,40484879,,"R-18+;restricted
ENGI;entertainment graphic innovation
SQL;structured query language
Sega AM2;sega am research & development no. 2
PVC;polyvinyl chloride
VPN;virtual private network
Lv.;level
ASCII;american standard code for information interchange
GP;gold points
RNG-based;based on a random number generator",,"GP;great plains
IP;internet protocol
RPG;role-playing game
ENGI;entertainment graphic innovation
DMM;digital media manager
SQL;structured query language
PVC;polyvinyl chloride
VPN;virtual private network
2D;two-dimensional space
CDs;compact disks
Sega AM2;sega amusement machine research and development department 2
Vol.;volume
Lv.;level
R-18+;restricted to adults
CD;compact disk
3D;three-dimensional space
PS;playstation"
100,The Legend of Legacy,43948986,stats;statistics,"3DS;three dimensional software
3D;three dimensional
RPG;role-playing game
NIS;net institutional sales
USA;united states of america
RPGs;role-playing games","stats;statistics
RPG;role-playing game","3DS;three dimensional screen
3D;three dimensional
NIS;nippon ichi software
USA;united states of america"
101,SocialGO,22878839,,sgv2;socialgo pro,,"Pro;professional
site;website"
102,KornShell,17213,ksh;kornshell,"AIX;advanced interactive executive
IEEE-Std;institute of electrical and electronics engineers standards
POSIX;portable operating system interface","CDE;common desktop environment
AST;at&t software technology","Std;standard
Tcl/Tk;tool command language/tool kit
IEEE;institute of electrical and electronics engineers
AIX;advanced interactive executive
GNU;gnu's not unix
POSIX.2;portable operating system interface"
103,Regenerative design,14967273,"LENSES;living environments in natural, social and economic systems
BNIM;berkebile nelson immenschuh mcdowell
SPeAR;sustainable project appraisal routine
USGBC;us green building council","BREAM;building research establishment
LEED;leadership in energy and environmental design","LENSES;living environments in natural, social and economic systems
Cal;california
USGBC;us green building council
SPeAR;sustainable project appraisal routine
US;united states
BNIM;berkebile nelson immenschuh mcdowell
Poly;polytechnic","LEED;leadership in energy and environmental design
LEED-certified;leadership in energy and environmental design-certified
BREEAM;building research establishment environmental assessment method
et al.;et alia
etc.;et cetera
SMART;self-monitoring, analysis, and reporting technology
m;meters"
104,CityGML,5981974,"GML3;geography markup language 3
LoDs;levels of detail
OGC;open geospatial consortium","TC211;technical specifications 211
GML;geography markup language
3D;three dimension
XML;extensible markup language
CityGML;city geography markup language
ISO;international standards
DB;database","LoDs;levels of details
GML3;geography markup language 3
OGC;open geospatial consortium","GML;geography markup language
ISO TC211;international organization for standardization  technical committee 211
LoD;levels of detail
XML;extensible markup language
3D;three-dimensional
DB;database"
105,ProCurve Products,14509372,PCM;procurve manager,"LC;lucent connector
x86;80x86
VoIP;voice over ip
GbE;gigabit ethernet
WAN;wide area network
MSM;multiservice mobility
VPN;virtual private network
ProCurve;professional curve
GBICs;gigabit interface converters
IPS;intrusion prevention system
API;application programming interface
HP;hewlett-packard
Mbit/s;megabit per second",PCM;procurve manager,"LC;letter of credit
MSM;multiservice mobility
VPN;virtual private network
WAN;wide-area network
VoIP;voice over internet protocol
GBICs;gigabit interface converters
10GbE;10 gigabit ethernet
IPS;in-plane switching
API;application programming interface
Mbit/s;megabits per second
HP;hewlett-packard"
106,ArchiCAD,4410993,"IAI;international alliance for interoperability
2D;two-dimensional
API;application programming interface
3D;three-dimensional
GDL;geometric description language","BIMx;set of software tools to present model and documentation of building information models
5D;five-dimensional
BCF;building information modelling collaboration format
BIMcloud;platform for collaboration in building information modeling projects
CAD;computer-aided design
HTTPS;hypertext transfer protocol secure
LDAP;lightweight directory access protocol
DWG;proprietary binary file format
HTTP;hypertext transfer protocol
DXF;computer-aided design data file format
IFC;industry foundation classes
4D;four-dimensional
IT;information technology
OBDC;open database connectivity
etc.;et cetera
BIM;building information modeling","GDL;geometric description language
IAI;international alliance for interoperability
API;application programming interface","5D;five-dimensional
etc;et cetera
CAD;computer-aided design
LDAP;lightweight directory access protocol
BIMcloud;building information modeling cloud
ODBC;open database connectivity
IFC;industry foundation classes
4D;four-dimensional
2D;two-dimensional
MEP;mechanical/electrical/plumbing
3D;three-dimensional
BCF;bim collaboration format
IT;information technology
HTTP/HTTPS;hypertext transfer protocol/hypertext transfer protocol secure
DXF;drawing exchange format
BIM;building information modeling"
107,Microsoft Desktop Optimization Pack,14951927,"ERD;emergency repair disk
DaRT;microsoft diagnostics and recovery toolset
MDOP;microsoft desktop optimization pack",,"ERD;emergency repair disk
MDOP;microsoft desktop optimization pack
DaRT;diagnostics and recovery toolset",Microsoft;microcomputer software
108,MelsecNet,31565579,,Mbit/s;megabits per second,,Mbit/s;megabit per second
109,RE (complexity),3106703,"RE;recursively enumerable
R;recursive","co-RE-complete;complexity recursively enumerable complete
NRNC;non-recursive/non-complexity -recursive
MIP;multiple-interrogator-prover
co-RE;complexity recursively enumerable
RE-complete;recursively enumerable complete",RE;recursively enumerable,"RE-complete;recursively enumerable-complete
co-RE-complete;co-recursively enumerable-complete
co-RE;co-recursively enumerable"
110,BASIC Computer Games,20191096,,"TRS-80;tandy radio shack-80
BASIC;beginner's all-purpose symbolic instruction code
GW-BASIC;gee whiz-beginner's all-purpose symbolic instruction code
FOCAL;formulating on-line calculations in algebraic language
HP;hewlett packard
PET;personal electronic transactor
DEC;digital equipment corporation",,"BASIC;beginner's all-purpose symbolic instruction code
TRS-80;tandy/radioshack, z80 microprocessor
FOCAL;formulating on-line calculations in algebraic language
DEC's;digital equipment corporation's
GW-BASIC;gee-whiz beginner's all-purpose symbolic instruction code
PET;personal electronic transactor
HP;hewlett-packard
DEC;digital equipment corporation"
111,Data activism,51552534,CODIS;combined dna index system,DNA;deoxyribonucleic acid,CODIS;combined dna index system,DNA;deoxyribonucleic acid
112,CC (complexity),37764147,"CCVP;comparator circuit value problem
CC;comparator circuits","NC;nick's class
CC-complete;comparator circuits-complete
AC;alternating current
P;polynomial
NL;nondeterministic logarithmic","CCVP;comparator circuit value problem
CC;comparator circuits","NC;nick's class
CC-complete;comparator circuits-complete
P;polynomial time
AC;alternating circuits
NL;nondeterministic logarithmic-space"
113,Chaos game,2572603,IFS;iterated function syste,,IFS;iterated function system,n-flake;fractal from n sides polygon
114,H1droid,31465462,,"LiMo;linux mobile
GPU;graphics processing unit",,"SD;storage device
LiMo;linux mobile
GPU;graphics processing unit
microSD;micro storage device"
115,Switching lemma,31332864,,i.e.;id est,,i.e.;id est
116,Web widget,6725861,,"CSS;cascading style sheets
won't;will not
W3C;the world wide web consortium
CORS;cross-origin resource sharing
USA;the united state of america
API;application programming interface
HTML;hypertext markup language",,"CSS;cascading style sheets
CORS;cross-origin resource sharing
W3C;world wide web consortium
USA;united states of america
API;application programming interface
HTML;hypertext markup language"
117,HP Stream 7,48700969,HP;hewlett-packard,"microSDHC;micro source digital high capacity
RS;reduced standby
HSPA;high speed packet access
mAH;milliamp per hour
ZDNet;ziff davis network
USB;universal serial bus
MP;mega pixel
mm;millimeter
LCD;liquid-crystal display
IPS;in-plane switching
GHz;gigahertz
RAM;random-access memory
microSD;micro source digital
Wi-Fi;wireless fidelity
eIPS;enhanced in-plane switching
DDRL3;double data rate 3 low voltage
CPU;central processing unit
GB;gigabyte",HP;hewlett-packard,"microSDHC;micro secure digital high capacity
microSD;micro secure digital
mm;millimetre
DDR3L;double data rate 3 low voltage
ZDNet;ziff- davis network
mAh;milliamp hour
eIPS;enchanted in-plane switching
LCD;liquid-crystal display
GHz;gigahertz
RAM;random-access memory
USB;universal serial bus
Wi-Fi;wireless fidelity
IPS;in-plane switching
CPU;central processing unit
HSPA+;evolved high speed packet access
MP;megapixel
GB;gigabyte"
118,Pythagoras tree (fractal),2508505,"QB;quarterback
NFL;national football league
PCF;french communist party
UCD;university of california, davis
UNS;universal nut sheller","USD;united states dollar
Vol;volume
AIDS;acquired immunodeficiency syndrome
GED;general educational development tests
AD;anno domini
TV;television
TRL;total request live
L;length
LP;long play record
EU;european union
BC;before christ
EP;extended play record
MTV;music television
CD;compact disk","QB;quarterback
NFL;national football league
UCD;university of california, davis
UNS;universal nut sheller
EU;european union","AIDS;acquired immunodeficiency syndrome
GED;general educational development tests
NCAA;national collegiate athletic association
PCF;parti communiste français
BC;before christ
EP;extended play
MTV;music television
CD;compact disk"
119,TI-84 Plus series,615169,"TI;texas instruments
SE;silver edition","GUI;graphical user interface
mAh;milliampere-hour
LCD;liquid crystal display
ASIC;application-specific integrated circuit
MHz;megahertz
DBUS;desktop bus
MB;megabyte
I/O;input/output
OS;operating system
mm;millimeter
RSA;rivest–shamir–adleman
USB;universal serial bus
LED;light-emitting diode
ROM;read-only memory
RAM;random access memory
CE;color edition
CPU;central processing","TI;texas instruments
GNFS;general number field sieve
SE;silver edition","mini-USB;mini-universal serial bus
MB;megabyte
BASIC;beginners' all-purpose symbolic instruction code
PlySmlt2;polynomial root finder simultaneous equation solver
CPU;central processing unit
kB;kilobyte
DBUS;desktop bus
mm;millimetre
mAh;milliamp hour
SAT;standardized test
LED;light emitting diode
USB;universal serial bus
SDCC;small device c compiler
CE;color edition
ASIC;application-specific integrated circuit
ACT;american college testing
SE;special edition
GUI;graphical user interface
MHz;megahertz
OS;operating system
RAM;random-acess memory
LCD;liquid-crystal display
CS;complete shell
I/O;input/output
ROM;read-only memory
MP;megapixel
RSA;rivest–shamir–adleman"
120,Microsoft Exchange Hosted Services,5569019,EHS;exchange hosted services,"e-mail;electronic mail
Microsoft;microcomputer software",EHS;exchange hosted services,"e-mail;electronic mail
Inc.;incorporated"
121,Breidbart Index,665818,"BI30;breidbart index 30
BI7;breidbart index 7
BI2;breidbart index version 2
ACI;cancel-index
SBI;skirvin-breidbart index
EMP;excessive multiposts
CI;cancel-index
ECP;excessive crossposts","FAQ;frequently asked questions
Usenet;users network","BI2;breidbart index version 2
SBI;skirvin-breidbart index
EMP;excessive multiposts
CI;cancel-index
ECP;excessive crossposts
BI;breidbart index",FAQ;frequently asked questions
122,BitChute,55998495,"NSFL;not safe for life
NSFW;not safe for work",,"NSFL;not safe for life
NSFW;not safe for work",
123,YaDICs,46607954,"PIV;particle images velocimetry
NCC;normalized cross-correlation
Q4P1;first-order quadrangular finite elements
ZOI;zone of interest
DIC;digital image correlation
PIV;particle image velocimetry","BFGS;broyden-fletcher-goldfarb-shanno
i.e.;id est
3D;three dimensional
2D;two dimensional
YaDICs;yet another digital image correlation software
ITK;insight toolkit
OpenMP;open multi-processing
SSD;sum of squared differences
MUMPS;multifrontalmassivelyparallel sparse directsolver
Petsc;portable, extensible toolkit for scientific computation
CPU;central processing unit","DIC;digital image correlation
PIV;particle image velocimetry
NCC;normalized cross-correlation
ZOI;zone of interest","i.e.;id est
BFGS;broyden-fletcher-goldfarb-shanno
YaDICs;yet another digital image correlation software
ITK;insight toolkit
OpenMP;open multi-processing
SSD;sum of squared differences
B-spline;basis spline
2D;two-dimensional
MUMPS;multifrontal massively parallel sparse direct solver
3D;three-dimensional
Petsc;portable, extensible toolkit for scientific computation"
124,Location-based advertising,13532795,"ASA;advertising standards authority
LBA;location-based advertising","CD;compact disk
DVD;digital video disc","ASA;advertising standards authority
LBA;location-based advertising","e-mail;electronic mail
DVD/CD;digital video disc/compact disc
UK;united kingdom
PC;personal computer"
125,Plastic.com,698941,QL;quicklinks,"IRC;internet relay chat
CGI;common gateway interface","QL;quicklink
subQ;submissions queue",CGI:IRC;common gateway interface:internet relay chat
126,Meta-scheduling,6100856,,"MPSoC;multiprocessor system on a chip
TT;time-triggered
SBMeS;scenario-based meta-scheduling",,"TT;time triggered
e.g.;exempli gratia
SBMeS;scenario-based meta-scheduling
MPSoC;multiprocessor system on a chip"
